Date ,NSW nersi_max_capacity,NSW total_available_capacity_MW,NSW total_demand_MW,QLD nersi_max_capacity,QLD total_available_capacity_MW,QLD total_demand_MW,SA nersi_max_capacity,SA total_available_capacity_MW,SA total_demand_MW,TAS nersi_max_capacity,TAS total_available_capacity_MW,TAS total_demand_MW,VIC nersi_max_capacity,VIC total_available_capacity_MW,VIC total_demand_MW,
2019-07-03 18:00:00,10450,15277.730613077114,10451.09375,6703,11865.68135932926,6704.32958984375,1827,4296.501400585368,1828.80908203125,1516,2982.4446092394983,1517.9149169921875,6336,11391.862103834748,6337.68798828125,
2019-07-03 19:00:00,10414,15268.385513620506,10415.607421875,6662,11832.351868722022,6663.4765625,2052,4390.56920715709,2053.3671875,1436,3069.7913491715,1437.2298583984375,6307,11314.356496080756,6308.9013671875,
2019-07-03 20:00:00,10037,15155.546651343599,10038.2333984375,6531,11821.078799140812,6532.251953125,2023,4471.13380522675,2024.6650390625,1413,3119.901811613073,1414.652099609375,6018,11316.682772129774,6019.01953125,
2019-07-03 21:00:00,9700,15069.881442289234,9701.5888671875,6453,11874.667725759886,6454.5986328125,1955,4544.964501525357,1956.267578125,1400,3193.972778301806,1401.2242431640625,5757,11586.665004119277,5758.64453125,
2019-07-03 22:00:00,9168,15023.228963871232,9169.3857421875,6128,11817.477309293477,6129.0166015625,1841,4625.39141664303,1842.7056884765625,1324,3253.054160599632,1325.3660888671875,5391,11604.675181940198,5392.595703125,
2019-07-03 23:00:00,8870,14953.09241919256,8871.3984375,5849,11699.158199182653,5850.01171875,1694,4608.724620891153,1695.4010009765625,1221,3269.528225897062,1222.026611328125,5143,11610.69524486363,5144.06396484375,
2019-07-04 00:00:00,8586,14865.841870263663,8587.3876953125,5611,11694.863557206318,5612.41748046875,1827,4556.824312914378,1828.1287841796875,1145,3271.5724479791575,1146.1649169921875,5336,11616.370520114899,5337.56689453125,
2019-07-04 01:00:00,8196,16119.37537405459,8197.8369140625,5295,11421.111549428442,5296.24169921875,1950,4866.283888469532,1951.1063232421875,1095,3196.90882171639,1096.50341796875,4846,12570.576535105705,4847.56689453125,
2019-07-04 02:00:00,7753,16142.34535154768,7754.6025390625,4944,11262.950076521991,4945.27197265625,1707,4935.360979735657,1708.6197509765625,1089,3151.704698665734,1090.920654296875,4641,12581.231698274612,4642.55859375,
2019-07-04 03:00:00,7078,16151.197865213633,7079.77978515625,4813,11181.861781575124,4814.7021484375,1561,4997.801356138611,1562.2998046875,1078,3115.8625405549337,1079.3092041015625,4342,12586.504881083965,4343.57568359375,
2019-07-04 04:00:00,6697,16148.650872181535,6698.44921875,4720,11143.023784206262,4721.85107421875,1468,5020.133201439148,1469.77880859375,1083,3107.1735718700165,1084.2437744140625,4159,12580.338708043098,4160.40576171875,
2019-07-04 05:00:00,6757,16163.464910989682,6758.34619140625,4842,11118.386241296255,4843.615234375,1459,5027.349280589076,1460.0469970703125,1084,3143.061952224944,1085.724853515625,4173,12585.260837197304,4174.7421875,
2019-07-04 06:00:00,7417,16155.259760613919,7418.5068359375,5216,11138.304866487146,5217.8720703125,1524,5030.779397208458,1525.46044921875,1131,3168.676315902002,1132.34228515625,4491,12586.868084669113,4492.93212890625,
2019-07-04 07:00:00,8662,16173.037225564996,8663.486328125,5695,11553.607927441775,5696.16064453125,1722,5010.7677121095385,1723.6248779296875,1304,3223.3197920893,1305.568603515625,5313,12570.408228576183,5314.65185546875,
2019-07-04 08:00:00,9366,16270.970485414744,9367.5400390625,5907,11912.321990292125,5908.93505859375,1982,5077.798810410395,1983.338623046875,1486,3269.135440256708,1487.0521240234375,5782,12734.407169520855,5783.42822265625,
2019-07-04 09:00:00,9223,16488.361084268174,9224.771484375,5644,12156.12466130498,5645.54248046875,2113,5101.89676187954,2114.083984375,1462,3272.0894789356344,1463.365234375,5939,12923.92760694027,5940.93505859375,
2019-07-04 10:00:00,8702,16540.455447013854,8703.4873046875,5369,12347.262016640827,5370.80029296875,2123,5177.16595623717,2124.9892578125,1419,3272.438893325776,1420.0750732421875,5872,12946.811338186264,5873.8623046875,
2019-07-04 11:00:00,8195,16552.0442544924,8196.5419921875,5222,12291.983444064737,5223.4521484375,2057,5169.648741661121,2058.1328125,1398,3272.4430972934497,1399.9010009765625,5849,12941.68914616108,5850.71728515625,
2019-07-04 12:00:00,7776,16578.299234440605,7777.22021484375,5176,12393.962664614457,5177.6201171875,1973,5124.614636237815,1974.380126953125,1371,3272.4595897820172,1372.5350341796875,5837,12719.180346369743,5838.32666015625,
